Date, Open, High, Low, Close
02/02/21, 1294.81, 1301.57, 1283.65, 1289.42
02/01/21, 1255.59, 1295.47, 1255.59, 1294.81
01/29/21, 1302.84, 1302.83, 1251.41, 1255.59
01/28/21, 1287.60, 1307.71, 1284.77, 1302.83
01/27/21, 1322.56, 1322.56, 1264.18, 1287.60
01/26/21, 1335.63, 1355.96, 1321.96, 1322.55
01/25/21, 1350.38, 1350.38, 1319.44, 1335.63
01/22/21, 1325.02, 1352.41, 1322.29, 1350.38
01/21/21, 1390.05, 1391.31, 1359.54, 1361.63
01/20/21, 1400.45, 1402.34, 1377.76, 1385.57
01/19/21, 1395.32, 1398.21, 1376.48, 1388.28
01/15/21, 1412.16, 1412.16, 1375.34, 1383.71
01/14/21, 1444.56, 1464.46, 1441.55, 1453.98
01/13/21, 1451.78, 1451.78, 1419.25, 1424.06
01/12/21, 1440.60, 1468.72, 1435.19, 1463.73
01/11/21, 1418.83, 1455.48, 1416.74, 1444.94
01/08/21, 1460.85, 1464.12, 1439.18, 1464.12
01/07/21, 1465.41, 1473.92, 1455.36, 1467.35
01/06/21, 1397.28, 1454.22, 1395.47, 1439.32
01/05/21, 1324.41, 1375.38, 1324.41, 1369.83
01/04/21, 1343.28, 1354.00, 1312.82, 1321.56
12/31/20, 1296.94, 1298.87, 1283.83, 1292.26
12/30/20, 1282.37, 1307.18, 1282.37, 1301.45
12/29/20, 1286.58, 1295.17, 1275.46, 1282.15
12/28/20, 1299.30, 1301.80, 1276.50, 1277.45
12/24/20, 1294.75, 1295.16, 1281.18, 1288.21
12/23/20, 1284.33, 1295.44, 1283.97, 1286.57
12/22/20, 1281.07, 1281.92, 1262.38, 1270.70
12/21/20, 1251.26, 1287.94, 1251.24, 1284.48
12/18/20, 1306.60, 1306.60, 1283.62, 1287.11
12/17/20, 1306.20, 1309.53, 1298.50, 1304.00
12/16/20, 1297.34, 1301.20, 1281.45, 1295.64
12/15/20, 1282.78, 1299.90, 1267.79, 1297.99
12/14/20, 1285.03, 1286.82, 1254.05, 1257.21
12/11/20, 1280.85, 1285.83, 1261.35, 1277.51
12/10/20, 1253.43, 1297.39, 1249.93, 1296.22
12/09/20, 1277.47, 1282.33, 1240.40, 1250.36
12/08/20, 1239.28, 1263.96, 1239.28, 1263.38
12/07/20, 1246.18, 1260.88, 1241.60, 1251.40
12/04/20, 1217.70, 1248.54, 1216.91, 1246.86
12/03/20, 1198.62, 1206.32, 1183.82, 1192.58
12/02/20, 1178.01, 1195.35, 1171.58, 1191.54
12/01/20, 1162.67, 1185.43, 1162.20, 1180.97
11/30/20, 1151.67, 1152.67, 1129.16, 1130.25
11/27/20, 1153.40, 1161.63, 1148.25, 1154.58
11/25/20, 1143.23, 1151.66, 1133.03, 1148.25
11/24/20, 1114.57, 1154.93, 1113.23, 1154.42
11/23/20, 1079.04, 1095.15, 1077.44, 1093.67
11/20/20, 1060.64, 1067.49, 1055.16, 1059.73
11/19/20, 1052.87, 1063.17, 1047.05, 1059.27
11/18/20, 1075.20, 1080.30, 1053.67, 1053.78
11/17/20, 1050.52, 1074.89, 1049.05, 1069.37
11/16/20, 1043.47, 1063.51, 1042.43, 1063.51
11/13/20, 1002.88, 1024.04, 1002.88, 1022.39
11/12/20, 998.26, 1010.09, 986.92, 993.02
11/11/20, 1012.41, 1014.13, 1002.94, 1009.32
11/10/20, 1011.89, 1020.71, 1007.12, 1009.45
11/09/20, 1017.75, 1041.89, 1003.94, 1006.35
11/06/20, 970.73, 979.93, 966.63, 970.10
11/05/20, 934.61, 964.99, 934.61, 957.39
11/04/20, 934.10, 934.10, 913.49, 914.89
11/03/20, 945.44, 952.99, 941.61, 949.92
11/02/20, 925.81, 928.92, 917.32, 928.82
10/30/20, 909.98, 919.01, 902.31, 911.89
10/29/20, 891.37, 921.46, 886.36, 917.67
10/28/20, 911.64, 911.64, 896.12, 896.73
10/27/20, 938.73, 941.76, 931.99, 934.75
10/26/20, 957.96, 959.48, 937.07, 942.04
10/23/20, 962.23, 973.06, 959.50, 967.94
10/22/20, 945.39, 957.72, 941.87, 956.12
10/21/20, 941.16, 957.04, 940.75, 943.40
10/20/20, 943.06, 955.19, 939.11, 939.78
10/19/20, 944.91, 960.30, 934.79, 935.56
10/16/20, 937.43, 944.86, 931.49, 938.25
10/15/20, 914.12, 937.92, 912.13, 936.80
10/14/20, 930.41, 939.00, 930.32, 932.52
10/13/20, 921.85, 931.10, 916.87, 927.10
10/12/20, 942.57, 942.57, 935.68, 937.68
10/09/20, 961.06, 962.51, 933.73, 941.99
10/08/20, 944.95, 951.79, 938.91, 950.23
10/07/20, 926.68, 943.13, 926.68, 939.86
10/06/20, 936.84, 937.36, 912.15, 915.42
10/05/20, 911.30, 932.05, 911.30, 930.50
10/02/20, 873.59, 907.10, 873.59, 901.55
10/01/20, 886.12, 894.37, 881.87, 889.55
09/30/20, 881.09, 896.31, 877.59, 882.48
09/29/20, 890.11, 893.89, 876.06, 877.04
09/28/20, 897.04, 901.72, 889.55, 891.68
09/25/20, 858.90, 876.58, 856.97, 874.56
09/24/20, 863.39, 884.30, 854.81, 869.21
09/23/20, 877.17, 890.03, 865.95, 866.23
09/22/20, 886.49, 889.23, 872.96, 881.55
09/21/20, 911.76, 932.81, 873.59, 884.03
09/18/20, 938.83, 956.02, 932.21, 932.81
09/17/20, 910.19, 942.37, 907.04, 939.45
09/16/20, 917.67, 929.16, 911.05, 919.94
09/15/20, 913.47, 921.46, 907.73, 916.48
09/14/20, 899.19, 906.59, 892.37, 904.67
09/11/20, 883.65, 900.64, 883.65, 890.82
09/10/20, 892.54, 894.15, 873.55, 873.55
09/09/20, 888.95, 893.77, 884.12, 888.63
09/08/20, 879.12, 885.70, 866.63, 872.38
09/04/20, 899.36, 904.12, 880.51, 899.31
09/03/20, 901.69, 909.69, 880.05, 888.26
09/02/20, 905.77, 908.22, 894.42, 907.26
09/01/20, 885.11, 902.92, 881.08, 902.91
08/31/20, 895.52, 896.58, 880.94, 881.22
08/28/20, 882.69, 896.90, 881.92, 896.20
08/27/20, 884.34, 885.68, 867.49, 875.69
08/26/20, 883.20, 889.05, 874.82, 879.55
08/25/20, 885.46, 887.27, 870.81, 883.45
08/24/20, 878.84, 885.87, 877.21, 885.72
08/21/20, 876.70, 878.60, 864.34, 868.51
08/20/20, 871.42, 891.31, 870.57, 888.84
08/19/20, 899.39, 905.58, 888.32, 889.02
08/18/20, 901.48, 904.52, 896.67, 898.31
08/17/20, 895.38, 901.78, 887.26, 890.96
08/14/20, 877.28, 888.77, 877.01, 886.70
08/13/20, 884.31, 889.91, 879.11, 882.47
08/12/20, 899.08, 900.27, 884.80, 890.78
08/11/20, 900.13, 903.04, 885.14, 887.26
08/10/20, 865.93, 887.29, 865.93, 886.70
08/07/20, 848.88, 856.63, 843.10, 856.57
08/06/20, 864.88, 868.84, 861.33, 862.99
08/05/20, 866.03, 879.36, 865.88, 870.02
08/04/20, 833.36, 844.29, 831.83, 844.29
08/03/20, 831.35, 840.60, 827.16, 837.48
